MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
LFP6633065,1C,10,3.2V,3.65V,1100,64,26.0±1.5,7.0±1.5,67.0±0.5,33.0±0.5,6.3±0.2,16±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
SLPB8395183HV,10A,8,3.8V,4.35V,18000,200,296.0±5.0,0.8±0.2,182.0±1.0,94.0±1.0,8.0±0.3,50±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB5620122,1C,15,3.7V,4.2V,1300,32,26.0±1.5,5.9±1.2,117.0±0.5,20.0±0.5,5.4±0.2,10±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPBA795210HV,1C,5,3.8V,4.35V,29000,200,464.0±10.0,0.7±0.2,209.0±1.0,95.0±0.5,10.4±0.3,50±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB9890190HV,10A,8,3.8V,4.35V,21000,200,361.0±5.0,0.7±0.2,189.0±1.0,89.0±1.0,9.5±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB6456052,1C,5,3.7V,4.2V,1900,48,35.0±1.5,5.1±1.0,53.0±0.5,56.0±0.5,5.9±0.2,35±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8390190HV,10A,8,3.8V,4.35V,18000,200,296.0±5.0,0.8±0.2,189.0±1.0,89.0±1.0,8.0±0.3,45±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB8542126,2C,40,3.7V,4.2V,4000,120,98.0±2.5,1.1±0.2,127.0±0.5,42.0±0.5,8.2±0.3,21±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
SLPBA7C0200,10A,8,3.7V,4.2V,29500,200,526.0±5.0,0.5±0.2,199.0±1.0,119.0±1.0,9.7±0.3,50±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB7018055,1C,40,3.7V,4.2V,520,32,12.8±1.0,4.7±0.9,55.0±0.5,18.0±0.5,6.7±0.3,7.5±0.5,LCO,18.0±1.0,4,0.2,4.0±0.2,
