MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB9142124,10A,30,3.7V,4.2V,5000,120,105.5±2.5,1.2±0.2,125.5±0.5,42.0±0.5,8.8±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8842124,10A,20,3.7V,4.2V,5000,120,101.5±2.5,1.4±0.3,125.5±0.5,42.0±0.5,8.5±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6534106,2C,35,3.7V,4.2V,2200,80,49.5±1.5,2.2±0.4,106.0±0.5,34.0±0.5,6.3±0.2,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6242126,2C,35,3.7V,4.2V,3200,96,71.0±2.0,1.7±0.3,127.0±0.5,42.0±0.5,6.0±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBB042124HV,1C,5,3.8V,4.35V,7950,96,124.0±3.0,1.7±0.3,125.5±0.5,42.0±0.5,10.7±0.3,20±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB7395099,1C,5,3.7V,4.2V,8100,120,140.0±3.0,1.8±0.3,98.5±0.5,95.0±0.5,7.0±0.3,40±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB4528045,1C,30,3.7V,4.2V,450,48,10.5±1.0,9.0±1.8,45.5±0.5,28.5±0.5,4.3±0.2,13±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB9147069HV,1C,5,3.8V,4.35V,3750,64,60.0±3.0,3.2±0.6,70.0±0.5,47.0±0.5,8.8±0.3,25±1,LCO+NCM,10.0±1.0,8,0.2,4.0±0.2,
SLPB7336058,2C,15,3.7V,4.2V,1500,48,29.5±1.5,4.2±0.8,58.0±0.5,36.0±0.5,7.0±0.3,18±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBA442126HV,10A,8,3.8V,4.35V,7200,96,122.0±5.0,1.7±0.3,127.5±0.5,42.0±0.5,10.1±0.3,21±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
LFP6778156,10A,25,3.2V,3.65V,6000,160,158.0±5.0,0.5±0.2,154.0±0.5,78.0±0.5,6.4±0.2,35±1,LiFePO4,10.0±1.0,20,0.2,8.3±0.2,
SLPB6133088,2C,20,3.7V,4.2V,1800,64,38.0±1.5,2.9±0.6,89.0±0.5,33.5±0.5,5.9±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBB142124,10A,15,3.7V,4.2V,6800,120,124.0±3.0,1.3±0.3,125.5±0.5,42.0±0.5,10.7±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6216054,1C,25,3.7V,4.2V,450,32,10.5±1.0,9.4±1.9,56.0±0.5,16.0±0.5,6.0±0.2,7.5±0.5,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPBB042126HV,10A,10,3.8V,4.35V,7500,96,125.0±3.0,1.5±0.3,127.5±0.5,42.0±0.5,10.7±0.3,21±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB8030082,2C,40,3.7V,4.2V,1550,64,38.5±1.5,2.0±0.4,83.5±0.5,30.0±0.5,7.7±0.3,15±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB8870175,10A,15,3.7V,4.2V,12000,200,225.0±5.0,0.8±0.2,173.5±0.5,69.5±0.5,8.5±0.3,32±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBA485155,10A,10,3.7V,4.2V,16800,200,300.0±5.0,0.8±0.2,154.5±0.5,85.0±0.5,10.1±0.3,45±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB7270175,10A,10,3.7V,4.2V,10000,144,187.0±5.0,1.1±0.2,173.5±0.5,69.5±0.5,6.9±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB6334106,2C,15,3.7V,4.2V,2300,64,45.5±1.5,2.9±0.6,106.0±0.5,34.0±0.5,6.1±0.2,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7285186,10A,15,3.7V,4.2V,12500,160,241.0±5.0,0.8±0.2,186.5±0.5,85.0±0.5,6.9±0.3,30±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB4244120,2C,35,3.7V,4.2V,1800,96,44.0±1.5,1.9±0.4,119.5±0.5,44.5±0.5,4.0±0.2,21±1,LCO,10.0±1.0,12,0.2,9.1±0.2,
SLPBA475175,10A,15,3.7V,4.2V,16000,200,298.0±5.0,1.0±0.2,174.0±1.0,74.5±0.5,10.1±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB7542124,2C,25,3.7V,4.2V,3850,80,84.0±2.0,1.7±0.3,125.0±0.5,42.0±0.5,7.2±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA385205,10A,10,3.7V,4.2V,22000,200,390.0±5.0,0.7±0.2,204.5±0.5,85.0±0.5,10.0±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB5842080HV,2C,8,3.8V,4.35V,2400,64,40.0±2.0,4.0±0.8,81.0±0.5,42.0±0.5,5.6±0.2,16.5±1,LCO+NCM,10.0±1.0,8,0.2,4.0±0.2,
SLPBA840085,2C,8,3.7V,4.2V,4300,80,77.5±2.0,2.5±0.5,85.5±0.5,40.0±0.5,10.5±0.3,20±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7533088,2C,30,3.7V,4.2V,2200,80,46.5±1.5,2.5±0.5,89.0±0.5,33.0±0.5,7.2±0.3,15±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9464155,10A,20,3.7V,4.2V,10000,160,201.0±5.0,0.8±0.2,155.5±0.5,64.0±0.5,9.1±0.3,29±1,LCO,10.0±1.0,20,0.2,5.0±0.2,
SLPB9180266,10A,15,3.7V,4.2V,24000,200,428.0±6.0,0.6±0.2,265.0±1.0,79.0±0.5,8.8±0.3,40±1,LCO,30.0±1.0,25,0.2,8.3±0.2,
SLPB6517075,1C,10,3.7V,4.2V,800,32,16.5±1.5,9.2±1.8,75.0±0.5,17.0±0.5,6.2±0.2,7.75±0.25,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB5244175,2C,20,3.7V,4.2V,4000,96,84.5±2.0,1.6±0.3,175.0±0.5,44.0±0.5,5.0±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8645135,10A,15,3.7V,4.2V,5800,96,114.0±2.5,1.5±0.3,135.0±0.5,45.0±0.5,8.3±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5736128,2C,25,3.7V,4.2V,2400,80,53.5±1.5,2.2±0.4,128.0±0.5,36.0±0.5,5.5±0.2,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6616054HV,1C,30,3.8V,4.35V,430,32,10.5±1.0,8.0±2.0,56.0±0.5,16.0±0.5,6.4±0.2,7.5±0.5,LCO+NCM,10.0±1.0,4,0.2,5.0±0.2,
SLPB7880125,1C,3,3.7V,4.2V,10000,120,161.0±5.0,1.8±0.4,124.5±0.5,80.0±0.5,7.5±0.3,40±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB7034096,2C,20,3.7V,4.2V,2200,64,45.5±1.5,2.7±0.5,97.0±0.5,33.5±0.5,6.6±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA070145,10A,15,3.7V,4.2V,11200,200,215.0±5.0,0.9±0.2,144.5±0.5,70.0±0.5,9.7±0.3,35±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB6598225,1C,5,3.7V,4.2V,18100,160,310.0±5.0,1.2±0.2,224.0±1.0,97.0±0.5,6.3±0.2,45±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB7185186,10A,15,3.7V,4.2V,12500,160,240.0±5.0,0.9±0.3,186.5±0.5,85.0±0.5,6.8±0.3,30±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPBB042124,10A,15,3.7V,4.2V,6800,120,124.5±3.0,1.1±0.2,125.5±0.5,42.0±0.5,10.7±0.3,21±1,LCO,37.0±1.0,15,0.2,5.0±0.2,
SLPB6572200,10A,10,3.7V,4.2V,10000,160,199.5±3.0,1.2±0.2,199.5±0.5,72.0±0.5,6.1±0.2,35±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB8967220,10A,15,3.7V,4.2V,14000,200,293.0±5.0,0.6±0.2,220.5±0.5,66.5±0.5,8.6±0.3,32±1,LCO,10.0±1.0,25,0.2,8.6±0.2,
SLPB8767220,10A,15,3.7V,4.2V,14000,200,280.0±5.0,0.6±0.2,220.5±0.5,66.5±0.5,8.4±0.3,32±1,LCO,10.0±1.0,25,0.2,8.6±0.2,
SLPBA590215HV,1C,5,3.8V,4.35V,28200,200,440.0±5.0,0.7±0.2,214.5±0.5,89.5±0.5,10.2±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB7482262HV,1C,1,3.8V,4.35V,25500,100,378.0±10.0,1.5±1.0,262.0±0.5,81.5±0.5,7.2±0.2,40±1,LCO+NCM,10.0±1.0,25,0.1,8.3±0.2,
SLPB5042124,2C,20,3.7V,4.2V,2500,80,53.5±1.5,2.4±0.5,125.0±0.5,41.8±0.5,4.8±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5572200,10A,10,3.7V,4.2V,9000,160,169.0±5.0,1.2±0.2,199.5±0.5,71.5±0.5,5.4±0.2,35±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB7498225,1C,5,3.7V,4.2V,21000,160,360.0±5.0,0.9±0.3,224.5±0.5,97.5±0.5,7.1±0.3,45±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB8566225HV,1C,5,3.8V,4.35V,17000,160,275.0±5.0,0.9±0.3,225.5±0.5,65.5±0.5,8.2±0.3,32±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB95B5215HV,1C,5,3.8V,4.35V,31000,200,507.0±10.0,0.7±0.2,214.5±0.5,114.5±0.5,9.2±0.3,50±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB95B5212HV,10A,8,3.8V,4.35V,29500,200,495.0±10.0,0.7±0.2,211.5±0.5,114.5±0.5,9.2±0.3,45±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB9490215HV,1C,5,3.8V,4.35V,24500,200,392.0±5.0,0.7±0.2,214.5±0.5,89.5±0.5,9.1±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB95B5215HV,10A,8,3.8V,4.35V,29500,200,504.0±10,0.7±0.2,214.5±0.5,115.0±0.5,9.2±0.3,50±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPBA096235,10A,10,3.7V,4.2V,27500,200,518±5.0,0.5±0.2,234.5±0.5,95.5±0.5,9.7±0.3,45±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB6045270,10A,10,3.7V,4.2V,8300,120,160.0±3.0,1.4±0.3,270.0±0.5,45.0±0.5,5.8±0.2,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7798225HV,1C,5,3.8V,4.35V,22000,200,367.0±5.0,0.9±0.3,224.5±0.5,98.0±0.5,7.4±0.3,45±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB5672200,10A,10,3.7V,4.2V,9000,160,175.0±3.0,1.2±0.2,199.5±0.5,72.0±0.5,5.4±0.2,35±1,LCO,17.0±1.0,20,0.2,8.3±0.2,
SLPB9996235,10A,8,3.7V,4.2V,27500,200,507.0±5.0,0.5±0.2,234.5±0.5,95.5±0.5,9.6±0.3,45±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB7172200,10A,10,3.7V,4.2V,11000,160,215.0±5.0,1±0.3,199.5±0.5,72.0±0.5,6.5±0.3,35±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB8867222HV,1C,5,3.8V,4.35V,17000,160,285.0±5.0,1±0.3,221.5±0.5,66.5±0.5,8.5±0.3,32±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPBA6C0200,1C,5,3.7V,4.2V,32200,200,557.0±10.0,0.6±0.2,199.5±0.5,119.5±0.5,9.8±0.3,50±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB8464204,1C,5,3.7V,4.2V,13800,160,240.0±3.0,1.1±0.2,204.0±0.5,63.5±0.5,7.9±0.3,31±1,LCO,10.0±1.0,20,0.2,5.0±0.2,
SLPBA7C0185,10A,8,3.7V,4.2V,27500,200,500.0±10.0,0.5±0.2,184.5±0.5,119.5±0.5,9.7±0.3,50±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBA7B2185,10A,8,3.7V,4.2V,25500,200,467.0±5.0,0.5±0.2,184.5±0.5,112.0±0.5,10.0±0.3,50±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB99B2185HV,10A,8,3.8V,4.35V,25500,200,435.0±10.0,0.7±0.2,184.5±0.5,111.5±0.5,9.6±0.3,50±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB7230048,1C,25,3.7V,4.2V,850,48,20.5±1.5,4.6±0.9,50.0±0.5,30.0±0.5,6.9±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9395183,1C,5,3.7V,4.2V,22000,160,358.0±5.0,0.8±0.2,182.5±0.5,94.0±0.5,9.0±0.3,40±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB8764155,10A,15,3.7V,4.2V,10000,160,192.0±3.0,1.0±0.2,155.5±0.5,64.0±0.5,8.4±0.3,29±1,LCO,37.0±1.0,20,0.2,5.0±0.2,
SLPB5934096,2C,20,3.7V,4.2V,1800,64,38.5±1.5,2.7±0.5,97.0±0.5,34.0±0.5,5.7±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6951071,1C,1,3.7V,4.2V,3050,20,52.0±2.0,7.0±3.0,70.5±0.5,50.5±0.5,6.7±0.2,30±1,LCO,10.0±1.0,5,0.1,4.0±0.2,
SLPB4842126,1C,5,3.7V,4.2V,3000,80,54.0±1.5,3.7±0.7,126.5±0.5,42.0±0.5,4.6±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5653065,2C,10,3.7V,4.2V,2100,64,40.5±1.5,3.3±0.7,67.0±0.5,53.5±0.5,5.4±0.2,25±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5420122,1C,20,3.7V,4.2V,1200,32,26.0±1.5,5.4±1.1,117.0±0.5,20.0±0.5,5.2±0.2,10±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB8942124,10A,25,3.7V,4.2V,5000,120,103.0±2.5,1.3±0.3,125.0±0.5,42.0±0.5,8.6±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBB044120,10A,15,3.7V,4.2V,6700,120,125.0±3.0,1.1±0.2,120.0±0.5,44.0±0.5,10.7±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7264079,2C,20,3.7V,4.2V,3800,96,77.5±2.0,1.6±0.3,80.0±0.5,64.0±0.5,6.9±0.3,30±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA375175HV,1C,5,3.8V,4.35V,18000,200,291.0±5.0,1.0±0.2,174.5±0.5,74.5±0.5,10.0±0.3,38±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB6843128,2C,25,3.7V,4.2V,3400,96,76.0±2.0,1.7±0.3,128.0±0.5,43.0±0.5,6.6±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8742126,10A,20,3.7V,4.2V,5200,96,99.0±2.5,1.4±0.3,127.5±0.5,42.0±0.5,8.4±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8877068,2C,8,3.7V,4.2V,4700,80,87.5±2.0,2.5±0.5,67.5±0.5,77.0±0.5,8.5±0.3,35±1,LCO,10.0±1.0,10,0.2,8.3±0.2,
SLPB4434096,1C,20,3.7V,4.2V,1300,64,28.0±1.5,4.5±0.9,96.5±0.5,34.0±0.5,4.2±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB4834096,1C,30,3.7V,4.2V,1400,64,31.0±1.5,3.2±0.6,96.5±0.5,34.0±0.5,4.6±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB4125035,1C,20,3.7V,4.2V,250,20,6.0±1.0,20.0±2.5,35.0±0.5,25.0±0.5,3.9±0.2,12±1,LCO,17.0±1.0,5,0.1,4.0±0.2,
SLPB4534106,1C,20,3.7V,4.2V,1450,48,31.0±1.5,3.8±0.8,105.5±0.5,34.0±0.5,4.3±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4930060,1C,15,3.7V,4.2V,800,48,16.5±1.0,8.2±1.6,62.0±0.5,30.0±0.5,4.7±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4930048,1C,25,3.7V,4.2V,600,64,13.5±1.0,7.5±1.5,49.5±0.5,30.5±0.5,4.7±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5459156,1C,5,3.7V,4.2V,5700,93,104.0±2.0,2.2±0.4,155.5±0.5,59.0±0.5,5.1±0.2,29.0±1,LCO,10.0±1.0,15,0.155,5.0±0.2,
SLPB8334106HV,2C,8,3.8V,4.35V,3600,64,62.0±2.0,2.8±0.6,106.0±0.5,34.0±0.5,8.0±0.3,17±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPB4330048,1C,20,3.7V,4.2V,500,48,11.0±1.0,9.1±1.8,49.5±0.5,30.5±0.5,4.1±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4834096,2C,15,3.7V,4.2V,1500,48,30.5±1.5,4.1±0.8,96.5±0.5,34.0±0.5,4.6±0.2,15±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4330048,1C,30,3.7V,4.2V,450,48,11.5±1.0,8.5±1.7,49.5±0.5,30.5±0.5,4.1±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4328045,1C,20,3.7V,4.2V,450,48,10.4±0.6,10.4±1.0,45.5±0.5,28.5±0.5,4.1±0.2,13±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB4534096,1C,20,3.7V,4.2V,1300,64,29.0±1.5,4.6±0.9,96.5±0.5,34.0±0.5,4.2±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA842124HV,10A,15,3.8V,4.35V,6500,80,121.0±3.0,1.1±0.2,125.5±0.5,42.0±0.5,10.5±0.3,18±1,LCO+NCM,10.0±1.0,10,0.2,5.0±0.2,
SLPB8029078,2C,30,3.7V,4.2V,1500,64,34.5±1.5,2.9±0.6,77.0±0.5,28.5±0.5,7.7±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8035062HV,1C,40,3.8V,4.35V,1400,80,33.0±1.5,2.0±0.4,63.0±0.5,35.0±0.5,7.7±0.3,16±1,LCO+NCM,10.0±1.0,10,0.2,5.0±0.2,
SLPB6935062HV,1C,25,3.8V,4.35V,1400,80,29.0±1.5,2.5±0.5,63.0±0.5,35.0±0.5,6.7±0.2,16±1,LCO+NCM,10.0±1.0,10,0.2,5.0±0.2,
SLPB9435062HV,2C,40,3.8V,4.35V,1650,80,39.0±1.5,1.8±0.4,63.0±0.5,35.0±0.5,9.1±0.3,16±1,LCO+NCM,10.0±1.0,10,0.2,5.0±0.2,
SLPB8465146,10A,10,3.7V,4.2V,9700,144,178.0±3.0,1.0±0.2,146.0±0.5,65.0±0.5,8.1±0.3,30±1,LCO,10.0±1.0,18,0.2,5.0±0.2,
SLPB7742080,2C,10,3.7V,4.2V,2900,64,56.5±1.5,2.8±0.6,81.0±0.5,42.0±0.5,7.4±0.3,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB5816075,1C,10,3.7V,4.2V,700,32,14.0±1.0,10.9±1.1,75.0±0.5,16.5±0.5,5.6±0.2,7.75±0.25,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB8975175HV,1C,1,3.8V,4.35V,18000,100,268.0±5.0,1.5±1.0,174.5±0.5,74.5±0.5,8.6±0.3,38±1,LCO+NCM,10.0±1.0,25,0.1,8.3±0.2,
SLPB5616075,1C,10,3.7V,4.2V,680,32,13.5±1.0,10.9±1.1,75.0±0.5,16.5±0.5,5.4±0.2,7.75±0.25,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB7642126,2C,10,3.7V,4.2V,4800,80,87.0±2.0,1.9±0.4,127.0±0.5,41.5±0.5,7.3±0.3,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9046143,10A,30,3.7V,4.2V,6000,120,126.5±3.0,1.1±0.2,144.0±0.5,46.0±0.5,8.7±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA142124,10A,15,3.7V,4.2V,6000,80,117.0±3.0,1.3±0.3,125.5±0.5,42.0±0.5,9.8±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9890190HV,1C,5,3.8V,4.35V,22500,200,362.0±5.0,0.8±0.2,189.5±0.5,89.0±0.5,9.5±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB8334122,2C,10,3.7V,4.2V,4000,64,76.0±2.0,2.3±0.5,122.0±0.5,34.0±0.5,8.0±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6945135HV,10A,10,3.8V,4.35V,5200,120,88.0±2.0,2.0±0.4,135.0±0.5,45.0±0.5,6.7±0.2,22±1,LCO+NCM,10.0±1.0,15,0.2,5.0±0.2,
SLPB7445090,1C,5,3.7V,4.2V,3600,64,63.0±2.0,3.2±0.6,91.0±0.5,45.0±0.5,7.1±0.3,18±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7725030,1C,15,3.7V,4.2V,450,16,10.0±1.0,15.0±1.5,31.0±0.5,25.0±0.5,7.4±0.3,12±1,LCO,17.0±1.0,4,0.1,4.0±0.2,
SLPB9177080,10A,8,3.7V,4.2V,6000,96,109.0±2.5,1.7±0.3,79.5±0.5,77.0±0.5,8.8±0.3,36±1,LCO,10.0±1.0,12,0.2,8.3±0.2,
SLPB6242085,1C,3,3.7V,4.2V,2800,48,48.5±1.5,4.0±0.8,85.5±0.5,42.0±0.5,6.0±0.2,16.5±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB5642085,1C,3,3.7V,4.2V,2500,48,43.5±1.5,4.5±0.9,85.5±0.5,42.5±0.5,5.4±0.2,16.5±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB5035062,1C,15,3.7V,4.2V,1000,48,21.0±1.5,6.1±1.2,63.0±0.5,35.0±0.5,4.8±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7434076,2C,15,3.7V,4.2V,2000,48,39.0±1.5,3.5±0.7,78.0±0.5,34.0±0.5,7.1±0.3,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4524042,1C,15,3.7V,4.2V,350,32,8.0±1.0,15.5±1.6,43.5±0.5,24.5±0.5,4.3±0.2,12±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB6035062,1C,40,3.7V,4.2V,1000,80,25.0±1.5,2.5±0.5,62.5±0.5,35.0±0.5,5.8±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6725030,1C,5,3.7V,4.2V,400,32,8.0±1.0,23.5±2.4,31.0±0.5,25.0±0.5,6.4±0.2,12±1,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB5829070,1C,3,3.7V,4.2V,1370,64,24.0±1.5,7.5±1.5,70.5±0.5,29.5±0.5,5.6±0.2,14±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB6233070,1C,5,3.7V,4.2V,1650,48,29.0±1.5,6.0±1.2,70.5±0.5,33.5±0.5,6.0±0.2,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7558150,10A,20,3.7V,4.2V,7000,120,142.5±3.0,1.0±0.3,151.0±0.5,58.0±0.5,7.2±0.3,24±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9142126,10A,25,3.7V,4.2V,5000,120,103.5±2.5,1.3±0.3,127.5±0.5,42.0±0.5,8.8±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7545119,2C,8,3.7V,4.2V,4900,120,89.5±2.0,2.0±0.4,120.0±0.5,45.0±0.5,7.2±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6333088,1C,5,3.7V,4.2V,2200,48,38.5±1.5,4.8±1.0,89.0±0.5,33.0±0.5,6.1±0.2,15±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB5242124,2C,20,3.7V,4.2V,2800,80,58.0±2.0,2.3±0.5,125.0±0.5,42.0±0.5,5.0±0.2,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7158150,10A,15,3.7V,4.2V,7000,120,135.0±3.0,1.4±0.3,151.0±0.5,58.0±0.5,6.8±0.3,24±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7943143,10A,30,3.7V,4.2V,5000,120,104.0±2.5,1.2±0.2,144.0±0.5,42.5±0.5,7.6±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7030048,1C,10,3.7V,4.2V,1000,48,20.0±1.5,6.4±1.3,50.0±0.5,30.0±0.5,6.7±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7943058,1C,3,3.7V,4.2V,2400,64,41.5±1.5,4.5±0.9,60.0±0.5,43.0±0.5,7.6±0.3,21±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7130060,1C,10,3.7V,4.2V,1300,48,25.0±1.5,5.4±1.0,61.5±0.5,29.5±0.5,6.8±0.3,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB3534101,1C,30,3.7V,4.2V,1000,64,23.0±1.5,4.5±0.9,101.0±0.5,34.0±0.5,3.3±0.2,16±1,LCO,10.0±1.0,8,0.2,9.1±0.2,
SLPB7370175,10A,10,3.7V,4.2V,10000,144,188.0±3.0,1.2±0.2,173.0±1.0,69.5±0.5,7.0±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB6743143,2C,20,3.7V,4.2V,4200,96,86.5±2.0,1.6±0.3,144.0±0.5,42.5±0.5,6.5±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8230085,1C,5,3.7V,4.2V,2400,48,42.0±1.5,4.6±0.9,86.0±0.5,30.0±0.5,7.9±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
