Sun_Teeth,Earth_Teeth,Moon_Teeth,Ring_Teeth,Overall_Ratio,DP,Ring_Pitch_Dia,Ring_OD,Carrier_Dia,Safety_Factor
16,47,23,86,11.9836956521739,20,4.3,4.4,3.15,4.03864406779661
16,47,26,89,11.0552884615385,20,4.45,4.55,3.15,4.03864406779661
16,48,22,86,12.7272727272727,20,4.3,4.4,3.2,4.03864406779661
16,48,25,89,11.68,20,4.45,4.55,3.2,4.03864406779661
16,49,24,89,12.3567708333333,20,4.45,4.55,3.25,4.03864406779661
16,50,26,92,12.0576923076923,20,4.6,4.7,3.3,4.03864406779661
15,40,23,78,10.0434782608696,20,3.9,4,2.75,3.70948093220339
15,40,26,81,9.30769230769231,20,4.05,4.15,2.75,3.70948093220339
15,41,22,78,10.6909090909091,20,3.9,4,2.8,3.70948093220339
15,41,25,81,9.856,20,4.05,4.15,2.8,3.70948093220339
15,42,24,81,10.45,20,4.05,4.15,2.85,3.70948093220339
15,43,23,81,11.095652173913,20,4.05,4.15,2.9,3.70948093220339
15,43,26,84,10.2615384615385,20,4.2,4.3,2.9,3.70948093220339
15,44,22,81,11.8,20,4.05,4.15,2.95,3.70948093220339
15,44,25,84,10.856,20,4.2,4.3,2.95,3.70948093220339
15,45,24,84,11.5,20,4.2,4.3,3,3.70948093220339
15,46,23,84,12.2,20,4.2,4.3,3.05,3.70948093220339
15,46,26,87,11.2615384615385,20,4.35,4.45,3.05,3.70948093220339
15,47,22,84,12.9636363636364,20,4.2,4.3,3.1,3.70948093220339
15,47,25,87,11.904,20,4.35,4.45,3.1,3.70948093220339
15,48,24,87,12.6,20,4.35,4.45,3.15,3.70948093220339
15,49,26,90,12.3076923076923,20,4.5,4.6,3.2,3.70948093220339
15,50,25,90,13,20,4.5,4.6,3.25,3.70948093220339
18,40,23,81,8.82608695652174,22,3.68181818181818,3.77272727272727,2.63636363636364,2.35191028155204
18,40,26,84,8.17948717948718,22,3.81818181818182,3.90909090909091,2.63636363636364,2.35191028155204
18,41,22,81,9.38636363636363,22,3.68181818181818,3.77272727272727,2.68181818181818,2.35191028155204
18,41,25,84,8.65333333333333,22,3.81818181818182,3.90909090909091,2.68181818181818,2.35191028155204
18,42,24,84,9.16666666666667,22,3.81818181818182,3.90909090909091,2.72727272727273,2.35191028155204
18,43,23,84,9.72463768115942,22,3.81818181818182,3.90909090909091,2.77272727272727,2.35191028155204
18,43,26,87,8.99358974358974,22,3.95454545454545,4.04545454545455,2.77272727272727,2.35191028155204
